transaction_id,customer_id,transaction_date,product_id,product_name,quantity,price,tax
1001,501.0,2023-07-11,101,Product A,1.0,76.27,8.23
1002,502.0,2023-07-12,102,Product B,3.0,119.16,17.06
1003,503.0,2023-07-13,103,Product C,1.0,287.25,26.36
1004,504.0,2023-07-13,104,Product D,2.0,115.46,25.39
1005,505.0,2023-07-12,100,Product E,4.0,255.05,16.03
1006,506.0,2023-07-20,101,Product A,,77.61,24.56
1007,,2023-07-18,102,Product B,5.0,78.28,18.24
1008,508.0,18-07-2023,103,Product C,1.0,254.17,14.87
1009,509.0,2023-07-16,104,Product D,5.0,Two Hundred,10.69
T1010,500.0,2023-07-15,100,Product E,4.0,200.35,17.34
1011,501.0,2023-07-16,101,Product A,3.0,112.25,Fifteen
1012,502.0,2023-07-20,102,Product B,,206.0,28.52
1013,503.0,2023-07-14,103,Product C,1.0,86.54,28.58
1014,,2023-07-17,104,Product D,5.0,209.43,19.52
1015,505.0,2023-07-16,P100,Product E,4.0,52.97,7.61
1016,506.0,11-07-2023,101,Product A,1.0,137.05,16.48
1017,507.0,2023-07-16,102,Product B,2.0,132.87,5.55
1018,508.0,2023-07-17,103,Product C,,Two Hundred,7.7
1019,509.0,2023-07-14,104,Product D,1.0,137.82,14.17
T1020,500.0,2023-07-11,100,Product E,2.0,144.66,23.74
1021,,2023-07-16,101,Product A,4.0,188.62,16.11
1022,502.0,2023-07-11,102,Product B,1.0,103.71,Fifteen
1023,503.0,2023-07-15,103,Product C,1.0,179.95,28.53
1024,504.0,14-07-2023,104,Product D,,241.04,23.45
1025,505.0,2023-07-10,100,Product E,5.0,261.65,22.97
1026,506.0,2023-07-11,101,Product A,4.0,104.98,21.21
1027,507.0,2023-07-17,102,Product B,4.0,Two Hundred,6.05
1028,,2023-07-10,103,Product C,4.0,194.77,28.42
1029,509.0,2023-07-13,104,Product D,3.0,94.46,5.43
T1030,500.0,2023-07-15,P100,Product E,,115.19,23.79
1031,501.0,2023-07-11,101,Product A,5.0,178.55,26.64
1032,502.0,16-07-2023,102,Product B,2.0,87.23,11.85
1033,503.0,2023-07-19,103,Product C,1.0,199.79,Fifteen
1034,504.0,2023-07-17,104,Product D,1.0,133.87,16.29
1035,,2023-07-11,100,Product E,5.0,145.45,10.18
1036,506.0,2023-07-16,101,Product A,,Two Hundred,9.84
1037,507.0,2023-07-16,102,Product B,4.0,247.01,26.91
